No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,year_month,date,Air Quality
1,2013,3,1,0,4.0,4.0,4.0,7.0,300.0,77.0,0.1,1023.0,0.1,0.0,NNW,4.4,Aotizhongxin,2013-3,2013-03-01,Poor
2,2013,3,1,0,8.0,8.0,4.0,7.0,300.0,77.0,0.1,1023.2,0.1,0.0,N,4.7,Aotizhongxin,2013-3,2013-03-01,Poor
3,2013,3,1,0,7.0,7.0,5.0,10.0,300.0,73.0,0.1,1023.5,0.1,0.0,NNW,5.6,Aotizhongxin,2013-3,2013-03-01,Poor
4,2013,3,1,0,6.0,6.0,11.0,11.0,300.0,72.0,0.1,1024.5,0.1,0.0,NW,3.1,Aotizhongxin,2013-3,2013-03-01,Poor
5,2013,3,1,0,3.0,3.0,12.0,12.0,300.0,72.0,0.1,1025.2,0.1,0.0,N,2.0,Aotizhongxin,2013-3,2013-03-01,Poor
6,2013,3,1,0,5.0,5.0,18.0,18.0,400.0,66.0,0.1,1025.6,0.1,0.0,N,3.7,Aotizhongxin,2013-3,2013-03-01,Poor
7,2013,3,1,0,3.0,3.0,18.0,32.0,500.0,50.0,0.1,1026.5,0.1,0.0,NNE,2.5,Aotizhongxin,2013-3,2013-03-01,Poor
8,2013,3,1,0,3.0,6.0,19.0,41.0,500.0,43.0,0.1,1027.4,0.1,0.0,NNW,3.8,Aotizhongxin,2013-3,2013-03-01,Poor
9,2013,3,1,0,3.0,6.0,16.0,43.0,500.0,45.0,0.1,1028.3,0.1,0.0,NNW,4.1,Aotizhongxin,2013-3,2013-03-01,Poor
10,2013,3,1,0,3.0,8.0,12.0,28.0,400.0,59.0,1.2,1028.5,0.1,0.0,N,2.6,Aotizhongxin,2013-3,2013-03-01,Poor
11,2013,3,1,0,3.0,6.0,9.0,12.0,400.0,72.0,1.9,1028.2,0.1,0.0,NNW,3.6,Aotizhongxin,2013-3,2013-03-01,Poor
